timestamp,Open,High,Low,Close,Volume
1684058280,26851.6,26851.6,26841.0,26841.0,9.71956
1684058340,26841.0,26844.05,26841.0,26842.53,3.36007
1684058400,26842.53,26842.53,26842.52,26842.53,5.35438
1684058460,26842.52,26842.53,26840.53,26840.53,16.25019
1684058520,26840.53,26840.53,26832.0,26832.61,12.75402
1684058580,26832.61,26837.86,26832.61,26837.86,8.932
1684058640,26837.85,26837.86,26834.21,26834.21,5.71602
1684058700,26834.22,26834.22,26826.54,26826.55,10.05148
1684058760,26826.54,26826.55,26826.54,26826.55,8.88764
1684058820,26826.54,26826.55,26826.54,26826.55,6.63793
1684058880,26826.54,26826.55,26826.54,26826.55,4.40426
1684058940,26826.55,26826.55,26826.54,26826.54,2.45511
1684059000,26826.54,26836.0,26826.54,26833.57,19.51672
1684059060,26833.57,26833.58,26830.7,26830.7,3.22444
1684059120,26830.71,26830.71,26827.15,26829.23,16.8422
1684059180,26829.23,26830.0,26829.23,26829.99,4.69513
1684059240,26829.99,26829.99,26829.91,26829.92,1.22221
1684059300,26829.91,26829.92,26826.54,26826.54,3.03925
1684059360,26826.55,26826.55,26826.54,26826.54,1.34073
1684059420,26826.55,26826.55,26826.54,26826.55,1.28401
1684059480,26826.54,26829.63,26826.54,26829.63,15.23751
1684059540,26829.62,26829.63,26829.62,26829.62,1.45221
1684059600,26829.62,26829.63,26829.62,26829.63,2.42825
1684059660,26829.62,26829.63,26821.79,26821.79,19.86419
1684059720,26821.8,26826.72,26821.79,26826.72,4.70854
1684059780,26826.71,26826.72,26823.43,26823.44,2.86805
1684059840,26823.43,26823.44,26820.0,26820.0,7.88928
1684059900,26820.01,26829.07,26820.0,26829.07,10.45858
1684059960,26829.07,26829.07,26829.06,26829.07,2.09177
1684060020,26829.06,26829.62,26829.06,26829.61,3.3148
1684060080,26829.62,26829.62,26829.61,26829.61,2.83132
1684060140,26829.62,26833.58,26829.61,26833.57,6.72796
1684060200,26833.57,26837.92,26833.57,26837.91,4.42818
1684060260,26837.92,26837.93,26837.91,26837.93,3.58004
1684060320,26837.93,26846.86,26837.92,26846.85,9.26052
1684060380,26846.85,26849.97,26846.85,26849.96,13.40326
1684060440,26849.97,26849.97,26849.82,26849.82,7.79412
1684060500,26849.83,26849.83,26847.68,26847.69,9.65306
1684060560,26847.68,26847.69,26841.0,26841.0,5.80885
1684060620,26841.0,26846.91,26841.0,26846.9,5.18417
1684060680,26846.91,26846.91,26846.9,26846.91,5.08212
1684060740,26846.9,26846.91,26846.9,26846.9,2.20295
1684060800,26846.91,26847.45,26846.9,26847.44,3.9522
1684060860,26847.45,26847.45,26844.82,26844.82,13.26396
1684060920,26844.83,26847.91,26841.36,26841.37,40.8605
1684060980,26841.36,26841.7,26841.36,26841.69,15.55878
1684061040,26841.7,26841.7,26839.79,26839.79,10.53269
1684061100,26839.79,26839.8,26830.0,26837.76,21.0694
1684061160,26837.76,26837.78,26837.76,26837.78,2.05862
1684061220,26837.78,26837.78,26826.01,26834.41,24.90353
1684061280,26834.41,26839.36,26834.41,26839.35,4.92706
1684061340,26839.36,26846.78,26839.35,26846.78,18.49984
1684061400,26846.78,26846.78,26843.79,26843.8,5.81299
1684061460,26843.79,26843.8,26839.87,26839.88,34.02
1684061520,26839.88,26842.93,26839.62,26839.63,16.61927
1684061580,26839.62,26839.63,26835.29,26835.8,36.15008
1684061640,26835.8,26835.95,26826.0,26826.53,33.32259
1684061700,26826.53,26826.54,26821.0,26822.3,40.184
1684061760,26822.31,26822.31,26819.87,26819.88,12.87592
1684061820,26819.88,26830.46,26814.35,26830.46,37.44556
1684061880,26830.46,26830.46,26822.98,26822.99,5.82256
1684061940,26822.98,26827.08,26822.98,26827.07,6.0694
1684062000,26827.07,26829.26,26827.07,26828.78,6.52096
1684062060,26828.78,26828.79,26827.07,26827.08,1.79659
1684062120,26827.07,26827.08,26824.32,26824.32,4.28281
1684062180,26824.33,26824.33,26818.08,26819.42,14.78884
1684062240,26819.42,26819.42,26814.93,26819.42,15.93116
1684062300,26819.41,26819.42,26817.05,26817.05,15.67202
1684062360,26817.05,26817.06,26811.17,26812.11,25.2603
1684062420,26812.11,26812.86,26812.11,26812.86,5.7747
1684062480,26812.85,26812.86,26811.0,26812.56,15.80643
1684062540,26812.56,26816.31,26812.55,26816.3,22.27653
1684062600,26816.31,26816.31,26811.0,26811.0,22.31714
1684062660,26811.0,26811.01,26810.0,26810.01,9.22097
1684062720,26810.0,26810.01,26808.01,26808.01,7.0662
1684062780,26808.02,26811.99,26807.32,26811.98,17.03304
1684062840,26811.99,26811.99,26808.48,26808.49,7.63264
1684062900,26808.48,26811.97,26801.8,26803.57,68.64882
1684062960,26803.57,26807.71,26803.56,26805.61,18.70968
1684063020,26805.6,26805.61,26800.0,26800.0,42.76999
1684063080,26800.0,26802.27,26800.0,26802.27,6.25235
1684063140,26802.26,26802.27,26800.95,26800.95,4.29513
1684063200,26800.96,26800.96,26790.02,26800.32,17.3577
1684063260,26800.33,26815.23,26800.32,26815.22,9.88245
1684063320,26815.23,26819.75,26815.22,26819.75,4.57187
1684063380,26819.74,26820.16,26809.9,26809.91,8.21155
1684063440,26809.9,26811.53,26806.09,26811.52,8.96977
1684063500,26811.52,26811.52,26811.35,26811.51,3.57505
1684063560,26811.52,26811.52,26808.23,26808.24,13.72109
1684063620,26808.24,26809.52,26808.01,26809.51,10.20918
1684063680,26809.52,26811.52,26809.51,26811.52,9.7654
1684063740,26811.52,26811.52,26811.51,26811.52,3.69759
1684063800,26811.51,26815.23,26811.51,26815.22,6.20107
1684063860,26815.22,26820.73,26815.22,26820.72,16.84826
1684063920,26820.72,26820.77,26820.72,26820.73,5.24797
1684063980,26820.73,26823.48,26820.73,26823.48,8.1991
1684064040,26823.48,26824.33,26823.47,26824.33,3.96444
1684064100,26824.33,26824.33,26824.32,26824.32,1.87323
1684064160,26824.32,26825.0,26824.32,26825.0,3.78972
1684064220,26825.0,26826.24,26822.26,26822.26,11.47721
1684064280,26822.26,26822.27,26815.73,26817.41,5.83586
1684064340,26817.41,26819.09,26817.4,26819.09,4.06361
1684064400,26819.09,26819.09,26811.85,26811.85,12.27164
1684064460,26811.86,26811.87,26811.85,26811.86,3.83401
1684064520,26811.87,26811.87,26811.86,26811.87,1.76393
1684064580,26811.87,26811.87,26811.86,26811.87,7.40484
1684064640,26811.87,26811.87,26811.86,26811.87,1.34482
1684064700,26811.87,26811.87,26809.66,26809.66,4.51163
1684064760,26809.66,26810.99,26793.84,26808.81,19.08153
1684064820,26808.82,26808.82,26804.86,26804.87,3.50513
1684064880,26804.86,26804.87,26802.94,26804.21,5.36822
1684064940,26804.2,26809.57,26804.2,26809.56,4.23593
1684065000,26809.56,26811.33,26809.56,26810.59,9.6181
1684065060,26810.59,26810.59,26804.2,26804.21,2.01072
1684065120,26804.2,26804.21,26796.92,26796.93,11.74049
1684065180,26796.92,26796.93,26793.43,26793.43,5.1138
1684065240,26793.44,26796.93,26793.43,26796.92,14.54523
1684065300,26796.93,26796.93,26796.92,26796.92,4.97717
1684065360,26796.92,26796.93,26796.18,26796.92,5.38231
1684065420,26796.93,26804.75,26796.92,26802.79,26.13149
1684065480,26802.8,26802.8,26801.15,26801.15,5.79624
1684065540,26801.16,26808.22,26801.15,26805.98,15.67284
1684065600,26805.97,26811.0,26801.8,26802.11,15.01279
1684065660,26802.12,26802.12,26795.3,26795.3,7.2698
